video_id,channel_title,video_title,upload_date,view_count,like_count,dislike_count,comment_count
76K8D_cwcvU,小高姐的 Magic Ingredients,素五鲜水饺,2023-01-21,80071,4444,,399
FWG_1oZTcS0,小高姐的 Magic Ingredients,蒜蓉虾仁 Garlic Shrimp,2023-01-13,129069,5227,,369
JpIymnVO5eY,小高姐的 Magic Ingredients,搓麻食,2022-12-21,107346,4907,,485
1q_I5IHdrdE,小高姐的 Magic Ingredients,灌蛋油条 油条简单做法,2022-11-03,170599,6627,,362
8P5TlolEPL0,小高姐的 Magic Ingredients,麻酱烧饼,2022-10-20,169710,7426,,383
C_ieBg4xZOk,小高姐的 Magic Ingredients,全麦吐司 (50% 全麦）,2022-10-11,100524,4187,,279
v77h09t7X-0,小高姐的 Magic Ingredients,卤汁凉粉,2022-09-24,168257,7449,,642
m9d-1QqbCOU,小高姐的 Magic Ingredients,小炒茄子,2022-06-14,443197,14786,,724
XTH2UckRDTQ,小高姐的 Magic Ingredients,蜜豆尖角粽,2022-06-02,188562,6723,,436
rfPpPtUiBqQ,小高姐的 Magic Ingredients,家常葱油饼,2022-05-30,409737,14085,,594
hioOf9GjZWg,小高姐的 Magic Ingredients,那不勒斯披萨  How to Make Neapolitan Pizza at Home,2022-05-18,220970,7893,,531
8r2DWmbe358,小高姐的 Magic Ingredients,薄如纸 细如丝 手工长寿面,2022-05-01,303660,11442,,758
rxIS1rJ6M08,小高姐的 Magic Ingredients,汤种面包,2022-04-15,366224,11661,,724
27gs2JPmNiQ,小高姐的 Magic Ingredients,春卷皮 润饼皮,2022-03-30,362209,12130,,643
sSWA3mTgTq0,小高姐的 Magic Ingredients,炸鸡汉堡 Spicy Chicken Sandwich,2022-03-10,228625,7187,,358
fswcwX93uG8,小高姐的 Magic Ingredients,超脆薯条 Super Crispy Fries,2022-03-10,195534,6240,,367
AxUfEKI1ww8,小高姐的 Magic Ingredients,汉堡面包 Brioche Burger Buns,2022-02-28,222515,7502,,402
hdRAjpu7RkY,小高姐的 Magic Ingredients,花生汤圆 Sweet Rice Balls,2022-02-13,617129,20493,,895
lRhN263_W_Y,小高姐的 Magic Ingredients,百财饺子 Fortune Dumplings,2022-01-30,562532,19097,,845
ml3R3GqnmUQ,小高姐的 Magic Ingredients,馒头为什么塌陷,2022-01-07,1358439,34280,,2047
4de35XN-XdU,小高姐的 Magic Ingredients,鸡蛋灌饼 2.0 Egg Stuffed Paratha,2021-12-23,338170,10019,,449
KAKIYOsSSxk,小高姐的 Magic Ingredients,凤梨酥,2021-12-01,638948,17226,,1222
zq2RWPwbcaQ,小高姐的 Magic Ingredients,细薯条 Shoestring Fries,2021-11-17,184627,5725,,336
s11_UuiS0FI,小高姐的 Magic Ingredients,刀削面 Sliced Noodles,2021-11-04,346337,10264,,685
-83188U6O8w,小高姐的 Magic Ingredients,葡式蛋挞 Portuguese Egg Tarts,2021-10-23,875088,19830,,874
55X8M68rCiQ,小高姐的 Magic Ingredients,葱油酥饼 Scallion Pancakes,2021-10-06,1614606,35456,,1180
1kejwmJ84Bk,小高姐的 Magic Ingredients,奶香月饼 Mooncakes,2021-09-19,676433,15717,,783
2EzQiuPmbGg,小高姐的 Magic Ingredients,豌豆凉粉,2021-09-11,283148,8103,,596
sjEP07HHKC8,小高姐的 Magic Ingredients,蒜香虾仁凉面 Shrimp Noodles (cold),2021-08-28,451303,15019,,617
uelEUHAswIw,小高姐的 Magic Ingredients,红焖羊肉 Braised Lamb,2021-08-15,416116,9304,,560
_edTKRGk38Y,小高姐的 Magic Ingredients,薄饼快速制作 Quick Flatbread,2021-08-03,1162339,31221,,1326
gwdsNkqbu8g,小高姐的 Magic Ingredients,"煎包  Pan Fried Buns, 软面包子包法",2021-07-19,1193133,28561,,1428
-P_FI0g5pdw,小高姐的 Magic Ingredients,咖喱角 Samosa,2021-07-11,276436,7893,,655
wpj2sppTEzk,小高姐的 Magic Ingredients,舒芙蕾 Soufflé,2021-06-30,1954610,47486,,1463
YVDFbWR_h5A,小高姐的 Magic Ingredients,鸡蛋灌饼,2021-06-21,1003693,31039,,1413
kko5x0P0Cbg,小高姐的 Magic Ingredients,薄皮馅饼 Stuffed Flatbread,2021-06-14,627424,17556,,836
Cb5NAXDZ5gc,小高姐的 Magic Ingredients,蜜枣紫米粽 Rice Dumplings,2021-06-05,218430,7206,,651
_UbDhNDraVQ,小高姐的 Magic Ingredients,超软蜂蜜面包 Soft Dinner Rolls,2021-05-30,624899,15290,,960
Exw7vHVWLbo,小高姐的 Magic Ingredients,丹麦吐司 Croissant Loaf,2021-05-16,612556,15202,,890
etSdP9CFmko,小高姐的 Magic Ingredients,红烧牛仔骨 Braised Beef Ribs,2021-05-04,360765,9386,,605
8Fg83QQi-0o,小高姐的 Magic Ingredients,酸菜炒米 Fried Rice  如何处理米饭  How to Prepare Rice,2021-04-26,244779,7650,,573
T9ujysGFgYw,小高姐的 Magic Ingredients,蒜蓉西兰花  Garlic Broccoli,2021-04-18,460494,12699,,689
5Q4HACvSNQI,小高姐的 Magic Ingredients,粉蒸牛肉,2021-04-11,572626,14605,,764
x3X24u6XCvE,小高姐的 Magic Ingredients,薄煎饼 Thin Crepes  煎饼应该用豆粉，玉米粉，还是面粉？,2021-03-25,259014,8091,,627
C1desj-fb54,小高姐的 Magic Ingredients,豆沙包 Bean Paste Buns,2021-03-15,583635,12929,,754
TK670K3LYZc,小高姐的 Magic Ingredients,豆沙酥饼 Red Bean Pastry,2021-03-06,568003,13021,,729
Jsqhb8i4ntU,小高姐的 Magic Ingredients,蛋黄酥 Yolk Pastry,2021-02-24,1073170,19419,,1271
bGzbJpLExDM,小高姐的 Magic Ingredients,16种实用饺子包法 16 Ways to Wrap a Dumpling,2021-02-12,5283786,89896,,2184
OBZVkExf27I,小高姐的 Magic Ingredients,羊肉水饺 Lamb Dumplings 如何把饺子做好,2021-02-05,897545,19092,,1447
a8F8Wg6Oc9g,小高姐的 Magic Ingredients,炸酸菜 Deep Fried Cabbage,2021-01-25,256852,6858,,886
-D5Yhx8allM,小高姐的 Magic Ingredients,酸菜炖牛尾 Oxtail Stew with Sauerkraut,2021-01-21,212257,5836,,506
5oxCz8CAQ5M,小高姐的 Magic Ingredients,酸白菜,2021-01-12,995884,22501,,2746
m-os629kYS0,小高姐的 Magic Ingredients,低温水浴牛排 Sous Vide Steak,2021-01-02,814656,19050,,1449
ZngMJttLhOE,小高姐的 Magic Ingredients,煎三文鱼 电饭锅低温水浴法 Sous Vide Salmon with a Rice Cooker,2020-12-26,460342,13034,,1124
ObPVbZZcqho,小高姐的 Magic Ingredients,炒鸡肉丝 / 鸡肉片技巧  炒菜公式   Chicken Stir Fry,2020-12-19,1070221,26361,,1027
mDmpQs2_k5E,小高姐的 Magic Ingredients,疙瘩汤,2020-12-10,306806,9565,,679
qNXLN--WeYk,小高姐的 Magic Ingredients,焖烧牛排骨 Braised Beef Ribs,2020-12-02,493320,11742,,836
DLJqFbCvOFg,小高姐的 Magic Ingredients,炸薯角 Crispy Potato Wedges,2020-11-25,354247,11919,,547
LHEcT58pZis,小高姐的 Magic Ingredients,万能面团  All Purpose Dough,2020-11-15,489055,18777,,1160
qB7gPOgmLbc,小高姐的 Magic Ingredients,柳叶包  Leaf-shaped Buns,2020-11-07,1215573,17474,,723
Whexul2Zc4c,小高姐的 Magic Ingredients,绿豆糕,2020-10-20,1130532,22169,,1003
tCVyqacA8Co,小高姐的 Magic Ingredients,烤鸡 Roast Whole Chicken,2020-10-10,1365895,25205,,1190
GyHLW3eZBJ4,小高姐的 Magic Ingredients,炸鸡排 Fried Chicken,2020-10-03,2285072,99763,,1382
L7a1d4dj1rs,小高姐的 Magic Ingredients,冰皮月饼 Mooncake,2020-09-21,1571789,32219,,1893
s2R4V7kS8Y0,小高姐的 Magic Ingredients,番茄土豆汤 Tomato Potato Soup,2020-09-11,506337,15317,,801
TjPKfEODlrI,小高姐的 Magic Ingredients,蒸米蛋糕 Steamed Rice Cake,2020-09-02,1498751,28754,,1343
MFc9NFO-_5c,小高姐的 Magic Ingredients,炒面 Stir Fry Noodles,2020-08-25,376438,10143,,762
-mKIuuC-HuI,小高姐的 Magic Ingredients,牛奶 如何选择适合自己的牛奶,2020-08-19,202836,7984,,1008
QIqGeRnLGKk,小高姐的 Magic Ingredients,姜撞奶 Ginger Milk Curd,2020-08-11,816850,25206,,1596
fVG27JUuquo,小高姐的 Magic Ingredients,浆水鱼鱼,2020-08-05,547512,14852,,1690
YBPZ4xM4rj8,小高姐的 Magic Ingredients,酸豆肉末,2020-07-28,450310,12783,,1108
yXQgc2BPCfY,小高姐的 Magic Ingredients,滋卷 / 菜卷  Shrimp Vegetable Rolls,2020-07-19,987717,22598,,1219
3ivuzop0ohg,小高姐的 Magic Ingredients,拍黄瓜 Smacked Cucumber,2020-07-11,2346270,40774,,1041
2Elfd71pTDI,小高姐的 Magic Ingredients,萝卜丝饼 Radish Cake,2020-07-03,2264388,37351,,1470
VRR49IFR5LI,小高姐的 Magic Ingredients,土豆泥 Mashed Potatoes,2020-06-24,597827,67948,,1227
YfMyBAQWYcI,小高姐的 Magic Ingredients,凉面 Cold Noodles,2020-06-14,531942,14890,,797
mt_d0C4qejo,小高姐的 Magic Ingredients,甜甜圈 Nutella Stuffed Donuts,2020-06-07,1108433,26917,,1312
m6IstLiOT2M,小高姐的 Magic Ingredients,揉面技巧 Dough Kneading Techniques,2020-05-31,1067668,23625,,1281
OxqFpN0-sHA,小高姐的 Magic Ingredients,丸子汤,2020-05-19,714946,18663,,1032
RzgBmrh4yFo,小高姐的 Magic Ingredients,绣球面包 Challah Bread,2020-05-11,326136,8601,,896
YhOq_9fHdIY,小高姐的 Magic Ingredients,韭菜盒子,2020-05-02,1530850,28203,,1651
L36_cK7aRgk,小高姐的 Magic Ingredients,芝麻烧饼 Crispy Sesame Bread,2020-04-23,728173,15865,,961
XYbeLXgCbQo,小高姐的 Magic Ingredients,简单手工面包  Easy Handmade Bread,2020-04-16,1095980,21236,,1606
N0oqXwMjhDs,小高姐的 Magic Ingredients,手擀肉臊面 Handmade Noodles,2020-04-09,4203087,73282,,2473
r3ak-JxHdh0,小高姐的 Magic Ingredients,如何发面 Dough Fermentation,2020-04-02,1970144,34456,,1718
OgfG6QtdTEk,小高姐的 Magic Ingredients,法棍 Baguette,2020-03-24,1103126,24908,,2024
ZIWXcUrm_KE,小高姐的 Magic Ingredients,香葱饼干 Scallion Biscuits,2020-03-11,585717,12244,,790
A9cge3T2Fkg,小高姐的 Magic Ingredients,烧茄子 Eggplant Stir Fry,2020-03-03,731691,14733,,820
s8xtNdq1miI,小高姐的 Magic Ingredients,香辣土豆 Spicy Baby Potatoes,2020-02-19,559995,12196,,692
IUlJk8rgolE,小高姐的 Magic Ingredients,玉米饼 Corn Flatbread,2020-02-13,1346857,21080,,976
olAw2chcBow,小高姐的 Magic Ingredients,青椒牛肉 如何炒出嫩滑的牛肉  Beef Stir Fry,2020-02-06,1657799,27520,,1471
x4IUewzt02U,小高姐的 Magic Ingredients,作业合集 谁的作品 请来认领,2020-01-31,294178,8431,,802
zsQr0SAuCHA,小高姐的 Magic Ingredients,千层肉饼 Thousand Layer Beef Pie,2020-01-16,1188856,24728,,1096
qAA8jA5Nu3M,小高姐的 Magic Ingredients,油泼辣子 Chili Oil,2020-01-07,611138,18102,,841
8Anl7NybqJk,小高姐的 Magic Ingredients,火锅 Hot Pot,2019-12-30,561506,24341,,2512
c-hNWudWc2s,小高姐的 Magic Ingredients,蛋糕卷 / 瑞士卷 Swiss Roll Cake 技巧分享 不开裂 不掉皮,2019-12-23,2712945,37265,,1367
IQ-t8eSSD3Y,小高姐的 Magic Ingredients,香草冰淇淋 Vanilla Ice Cream 经典冰淇淋 手工制作,2019-12-14,1138426,23869,,1378
Ju9SdmO7tGA,小高姐的 Magic Ingredients,炒拉条子 Fried Hand Pulled Noodles,2019-12-08,724669,18421,,1238
e_s8xMEfseo,小高姐的 Magic Ingredients,酱油炒饭 Soy Sauce Fried Rice,2019-11-30,644606,15112,,866
PoAS6vNm2e4,小高姐的 Magic Ingredients,红烧小羊腿 Braised Lamb Shanks,2019-11-24,626229,12418,,814
ScbNR-IdfAA,小高姐的 Magic Ingredients,印度烤饼 Garlic Naan,2019-11-17,1909985,41664,,2260
GBecgW3WSfc,小高姐的 Magic Ingredients,自制黄油 Homemade Butter,2019-11-09,4135501,138091,,3522
Vjlr4SgE_DM,小高姐的 Magic Ingredients,奶酪蛋糕 Cheesecake,2019-11-01,392490,7308,,638
Tgupe9HrEtA,小高姐的 Magic Ingredients,贝果 Bagels,2019-10-26,595325,11504,,908
9WtfiBmgFi4,小高姐的 Magic Ingredients,奶油奶酪制作 Homemade Cream Cheese,2019-10-19,754216,17336,,814
RzAhcPJSm3k,小高姐的 Magic Ingredients,早餐鸡蛋饼 Savory Crepe,2019-09-25,1477722,30508,,1067
B0XOYIaMd4g,小高姐的 Magic Ingredients,虾仁蒸饺 Shrimp Dumplings,2019-09-19,758582,17423,,806
25LYcG0Pt38,小高姐的 Magic Ingredients,椒盐五仁月饼 Five-nut Mooncakes,2019-09-10,1961830,45030,,2061
SiQE6w40yeU,小高姐的 Magic Ingredients,盐酥鸡  Chicken Popcorn,2019-08-29,1959452,39435,,1988
G6HJXL_xK80,小高姐的 Magic Ingredients,焦糖布丁 Crème Caramel,2019-08-23,1744933,35246,,1479
S-sZI6WGcR4,小高姐的 Magic Ingredients,麻辣熏鸡腿 Spicy Smoked Chicken Legs,2019-08-13,826864,17670,,977
HFJLdRA8qRw,小高姐的 Magic Ingredients,西葫芦饼 Zucchini Pancakes,2019-08-07,604218,11807,,776
SyM3jMFjess,小高姐的 Magic Ingredients,日式轻乳酪蛋糕 Japanese Cheesecake,2019-07-30,4139493,68745,,2869
BStgIeNQrRk,小高姐的 Magic Ingredients,凉粉 透明且有韧性的凉粉做法 Mung Bean Jelly,2019-07-12,1645986,31070,,2009
vWJywvoTjuM,小高姐的 Magic Ingredients,海鲜煎饼 Seafood Pancakes,2019-07-02,996460,19067,,681
j6QVg9I0BxE,小高姐的 Magic Ingredients,汉堡包 Cheeseburger 汉堡肉饼多汁的秘密,2019-06-21,995482,21543,,1318
l5yLinsB0V0,小高姐的 Magic Ingredients,土豆面包 Potato Bread,2019-06-15,932858,18142,,1030
ALUkX6d5I1w,小高姐的 Magic Ingredients,肉粽 香菇鸡肉粽,2019-06-07,989519,17354,,926
fS7yzGb8q3g,小高姐的 Magic Ingredients,牛肉夹馍 (下） 坨坨馍的做法,2019-06-01,631675,10696,,568
Z1rNXs6Vtms,小高姐的 Magic Ingredients,牛肉夹馍 （上）牛肉的做法,2019-05-24,490058,8064,,768
f7f9WQzYhVs,小高姐的 Magic Ingredients,香酥辣椒 Super Crispy Chilies,2019-05-08,417029,13222,,778
2DAX6ypPFI0,小高姐的 Magic Ingredients,蒜香面包 Garlic Bread / Star Bread,2019-04-28,2874992,48920,,2319
CfKFiBhqP5U,小高姐的 Magic Ingredients,香蕉蛋糕 Banana Bread,2019-04-20,1443678,21664,,1239
JBN-k3-noVo,小高姐的 Magic Ingredients,番茄肉酱意面  Spaghetti with Meat Sauce,2019-04-12,1180751,16560,,688
s1AGZVxOK_k,小高姐的 Magic Ingredients,蒜香虾仁意面 Shrimp Alfredo,2019-04-05,1728543,31139,,1027
dk0U98JzhBg,小高姐的 Magic Ingredients,手工意面 Fresh Pasta without Machine,2019-03-30,335301,7771,,741
d26wxvsphOI,小高姐的 Magic Ingredients,印度奶茶 Indian Tea / Masala Chai,2019-03-24,355709,9606,,708
RVr0Do14_JA,小高姐的 Magic Ingredients,印度薄饼 Super Soft roti / Chapati,2019-03-20,598646,12596,,1043
z1Ywh2a8EWs,小高姐的 Magic Ingredients,咖喱羊肉 Curry Lamb,2019-03-07,563259,10738,,1066
hLKmFQtbLUc,小高姐的 Magic Ingredients,焦糖 / 老糖 Sponge Toffee,2019-03-01,439773,11704,,986
YNzGZMLWY_Q,小高姐的 Magic Ingredients,巧克力冰淇淋 Chocolate Ice Cream,2019-02-22,556612,10042,,589
t-pop_dGsgc,小高姐的 Magic Ingredients,芝麻汤圆 Sweet Rice Dumplings 简单手法包汤圆,2019-02-15,2498718,43439,,1706
tRLYIYClKnQ,小高姐的 Magic Ingredients,拔丝地瓜 Basi Sweet Potatos 两种熬糖浆方法，哪个会胜出？,2019-02-08,525469,9393,,579
3GeG8wzJXdU,小高姐的 Magic Ingredients,烤鱼  BBQ Fish 从鱼背开鱼的方法和步骤,2019-01-31,2524138,28832,,1348
HRa-at77s4A,小高姐的 Magic Ingredients,烧牛尾 Oxtail Stew,2019-01-25,1266811,20539,,1365
50vc67EXTwk,小高姐的 Magic Ingredients,葱油曲奇 Savory Butter Cookies 酥得掉渣 入口即化 还美的像花儿,2019-01-18,904905,15692,,1294
lJBecnsQ0vo,小高姐的 Magic Ingredients,芥菜炒黄豆 Vegetable Stir Fry with Soybeans  超级下饭家常菜,2019-01-10,165760,4541,,454
kg6dm8535TI,小高姐的 Magic Ingredients,鸡肉煎饺 Chicken Dumplings,2018-12-31,3640635,95562,,4346
HV-vaC7nDlo,小高姐的 Magic Ingredients,轻乳酪蛋糕 Cotton Cheese Cake,2018-12-27,5501287,81897,,2911
UufMjnYZcI8,小高姐的 Magic Ingredients,巧克力戚风蛋糕 Chocolate Chiffon Cake,2018-12-18,2589220,37906,,2219
amdln95X4hs,小高姐的 Magic Ingredients,小苏打和泡打粉的区别 Baking Soda vs Baking Powder,2018-12-12,1324518,17248,,749
nYQ5uc6plCs,小高姐的 Magic Ingredients,戚风蛋糕 Chiffon Cake,2018-12-05,4429728,57275,,4858
O3F3BmcL8sI,小高姐的 Magic Ingredients,蛋黄酱 /美乃滋 Mayonnaise 神奇就在眼前 液态油瞬间变固体,2018-11-28,590158,10801,,970
B8-4GHFjhDY,小高姐的 Magic Ingredients,小苏打和食用碱面的区别 Baking Soda vs Soda Ash,2018-11-22,692510,14583,,970
0WTVjgDHQE0,小高姐的 Magic Ingredients,香甜松软的早餐饼干 简单快捷 无需揉面 Cream Biscuits / Scones,2018-11-19,832070,14913,,985
ATEnM1YPQQE,小高姐的 Magic Ingredients,"披萨做法 Pizza Margherita, Cheese Pizza and  Steak Pizza",2018-11-10,2389901,35248,,2046
ghZ2KkX5mcM,小高姐的 Magic Ingredients,奶酪制作 Mozzarella cheese,2018-10-25,2245118,46293,,2102
_S9XLtKDx3g,小高姐的 Magic Ingredients,蒸鸡蛋羹 Savory Egg Custard  用科学的方法蒸出完美的蛋羹,2018-10-13,2393893,38512,,1769
DEuyrQS5bK4,小高姐的 Magic Ingredients,咸绿豆酥饼 Mung Bean Pastry  （素油版 / Vegetarian),2018-10-06,1371921,19220,,1192
